origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
101,5237055821,4989551.397281339,6.676306565744715,1272288.1200321165,6261846.193620021
101,5237055822,4989551.397281339,29.737179156115914,1484415.9671605935,6473997.1016210895
101,5237055823,4989551.397281339,38.247035718007574,1532085.8299138672,6521675.474230925
101,5237055824,4989551.397281339,50.02111623082991,2074412.9402261127,7064014.3586236825
101,5237055830,4989551.397281339,15.703221883933502,5917339.583377601,10906906.683880825
101,5237055831,4989551.397281339,84.76456908023829,406590.7543054556,5396226.916155876
101,5237055832,4989551.397281339,27.545121536232262,286435.6476307034,5276014.59003358
101,5237055833,4989551.397281339,51.150814504421106,209640.46015751633,5199243.00825336
101,5237055834,4989551.397281339,65.35642945261475,1075287.8216715355,6064904.575382328
101,5237055840,4989551.397281339,59.062313053152614,13153895.396947036,18143505.85654143
